"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADES","Advanced Emissions Solutions, Inc.","11.49","228830600.19","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"ADVM","Adverum Biotechnologies, Inc.","3.21","201807496.59","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm",
"AGLE","Aeglea BioTherapeutics, Inc.","8.56","205115695.84","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle",
"ARPO","Aerpio Pharmaceuticals, Inc.","3.93","159510855.72","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/arpo",
"AEZS","AEterna Zentaris Inc.","3.63","59679958.8","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs",
"AFMD","Affimed N.V.","3.33","207884973.6","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",
"AGFS","AgroFresh Solutions, Inc.","3.95","199234879.5","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AIRT","Air T, Inc.","30.6","62106188.4","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"AIRG","Airgain, Inc.","11.0091","109152044.8701","n/a","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"AKTS","Akoustis Technologies, Inc.","7.2","214378833.6","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALSK","Alaska Communications Systems Group, Inc.","2.05","109030229.9","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"ALAC","Alberton Acquisition Corporation","9.84","144547140","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alac",
"ALBO","Albireo Pharma, Inc.","23.3","278899322.4","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","6.8","91917191.2","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",
"ALDX","Aldeyra Therapeutics, Inc.","8.66","227276798.44","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",
"ALCO","Alico, Inc.","29.82","222301986.9","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",
"ALIM","Alimera Sciences, Inc.","0.869","60898544.982","n/a","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",
"ALYA","Alithya Group inc.","2.89","139889736.17","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/alya",
"ALJJ","ALJ Regional Holdings, Inc.","1.41","53617273.35","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ALGR","Allegro Merger Corp.","9.8","186788000","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algr",
"ALNA","Allena Pharmaceuticals, Inc.","8.02","166505216.98","n/a","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna",
"ALLT","Allot Ltd.","6.5","219143145","n/a","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"AOSL","Alpha and Omega Semiconductor Limited","12.39","294732527.04","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"ATEC","Alphatec Holdings, Inc.","1.61","69572295.66","n/a","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec",
"ALPN","Alpine Immune Sciences, Inc.","7.02","130297553.1","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn",
"AMRK","A-Mark Precious Metals, Inc.","13.24","93096398","n/a","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",
"AMNB","American National Bankshares, Inc.","32.59","284195782.83","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb",
"AMRB","American River Bankshares","13.8832","81333727.6096","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb",
"AMSC","American Superconductor Corporation","12.77","272818956.81","n/a","1991","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/amsc",
"ASRV","AmeriServ Financial Inc.","4.09","72062949.27","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrv",
"ATLO","Ames National Corporation","25.25","234655951.25","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/atlo",
"IBUY","Amplify Online Retail ETF","46.09","294976000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibuy",
"ASYS","Amtech Systems, Inc.","4.75","67528831","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/asys",
"AMRS","Amyris, Inc.","3.19","234645199.91","n/a","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amrs",
"AVXL","Anavex Life Sciences Corp.","1.82","84786814.84","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/avxl",
"ANIX","Anixa Biosciences, Inc.","4.45","85850574.8","n/a","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/anix",
"APEN","Apollo Endosurgery, Inc.","3.61","79035567.49","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/apen",
"AGTC","Applied Genetic Technologies Corporation","3.06","55490018.58","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agtc",
"AREX","Approach Resources Inc.","0.9739","92040049.8086","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/arex",
"APTX","Aptinyx Inc.","5.38","180215710.72","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aptx",
"APTO","Aptose Biosciences, Inc.","2.07","78186847.68","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/apto",
"APYX","Apyx Medical Corporation","8.75","290530773.75","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/apyx",
"AQMS","Aqua Metals, Inc.","2.22","98380145.82","n/a","2015","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/aqms",
"AQST","Aquestive Therapeutics, Inc.","7.92","197542105.2","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aqst",
"AQXP","Aquinox Pharmaceuticals, Inc.","2.31","54371320.08","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aqxp",
"PETX","Aratana Therapeutics, Inc.","4.22","205194132.44","n/a","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/petx",
"ABUS","Arbutus Biopharma Corporation","3.96","219689850.6","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abus",
"ARCT","Arcturus Therapeutics Ltd.","5.06","54233080","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/arct",
"ARDX","Ardelyx, Inc.","2.02","125511750.6","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ardx",
"ARDS","Aridis Pharmaceuticals Inc.","8.7","70511385.9","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ards",
"ARKR","Ark Restaurants Corp.","18.64","64768053.84","n/a","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/arkr",
"ARTX","Arotech Corporation","3.44","91112362.88","n/a","1994","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artx",
"ARYA","ARYA Sciences Acquisition Corp.","9.8","176093750","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/arya",
"ASLN","ASLAN Pharmaceuticals Limited","3.65","21900000","6000000","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/asln",
"ASPU","Aspen Group Inc.","5.12","94077056","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/aspu",
"ASRT","Assertio Therapeutics, Inc.","4.18","267265295.88","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/asrt",
"ALOT","AstroNova, Inc.","19.95","138708240.3","n/a","1983","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/alot",
"ASUR","Asure Software Inc","5.63","86404927.42","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/asur",
"ATHX","Athersys, Inc.","1.71","242385420.6","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/athx",
"AAME","Atlantic American Corporation","2.66","53730175.24","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aame",
"ATLC","Atlanticus Holdings Corporation","3.3336","51259347.0864","n/a","1995","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","9.86","117698524.2","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afh",
"ATOM","Atomera Incorporated","3.99","59983764.75","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/atom",
"AUBN","Auburn National Bancorporation, Inc.","33.16","120830662.88","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/aubn",
"AEYE","AudioEye, Inc.","11.85","89449298.4","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aeye",
"AVDL","Avadel Pharmaceuticals plc","2.47","103493568.1","41900230","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/avdl",
"ATXI","Avenue Therapeutics, Inc.","6","64006284","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/atxi",
"AVEO","AVEO Pharmaceuticals, Inc.","1.81","226877342.38","n/a","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aveo",
"AVNW","Aviat Networks, Inc.","14.21","77082827.08","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/avnw",
"CDMO","Avid Bioservices, Inc.","4.02","225392825.34","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cdmo",
"AVID","Avid Technology, Inc.","4.61","192940711.89","n/a","1993","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avid",
"AWRE","Aware, Inc.","3.57","76916053.41","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/awre",
"AXON          ","Axovant Sciences Ltd.","1.02","124724934.96","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/axon",
"AXSM","Axsome Therapeutics, Inc.","8.6","281170412.4","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/axsm",
"AXTI","AXT Inc","4.14","163686578.94","n/a","1998","Technology","Semiconductors","https://www.nasdaq.com/symbol/axti",
"BCOM","B Communications Ltd.","4.45","165872170.25","n/a","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/bcom",
"BCTF","Bancorp 34, Inc.","15","50963475","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bctf",
"BOCH","Bank of Commerce Holdings (CA)","11.15","182124100","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/boch",
"BKSC","Bank of South Carolina Corp.","18.55","102227510.35","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","14.3","62611634.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/botj",
"BSVN","Bank7 Corp.","15.15","154340625","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/bsvn",
"BFIN","BankFinancial Corporation","14.99","247057894.86","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bfin",
"BWFG","Bankwell Financial Group, Inc.","28.95","227033021.7","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/bwfg",
"DTYS","Barclays PLC","20.24","52224077.84","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dtys",
"BSET","Bassett Furniture Industries, Incorporated","18.65","195824179.4","n/a","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/bset",
"BCML","BayCom Corp","21.52","233906798","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/bcml",
"BCBP","BCB Bancorp, Inc. (NJ)","11.08","175084775","n/a","2005","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bcbp",
"BBGI","Beasley Broadcast Group, Inc.","4.755","130686481.815","n/a","2000","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/bbgi",
"BELFA","Bel Fuse Inc.","18.7784","229984022.2976","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/belfa",
"BELFB","Bel Fuse Inc.","21.9","268215081.6","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/belfb",
"BLCM","Bellicum Pharmaceuticals, Inc.","3.29","142658213.11","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/blcm",
"BGFV","Big 5 Sporting Goods Corporation","3.55","76070372.7","n/a","2002","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/bgfv",
"BRPA","Big Rock Partners Acquisition Corp.","10.2495","92609357.25","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/brpa",
"BFRA","Biofrontera AG","13.16","8142447.32","618727","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bfra",
"BLFS","BioLife Solutions, Inc.","13.43","248451870.81","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/blfs",
"BLRX","BioLineRx Ltd.","0.6048","50640678.7488","83731281","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/blrx",
"BSGM","BioSig Technologies, Inc.","4.25","70821906.5","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/bsgm",
"BTAI","BioXcel Therapeutics, Inc.","5.53","86519863.85","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/btai",
"BCAC","Bison Capital Acquisition Corp.","10.46","83459681.02","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bcac",
"BRAC","Black Ridge Acquisition Corp.","10.08","178365600","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/brac",
"BLNK","Blink Charging Co.","2.39","61469808.15","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/blnk",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","1.93","77959923.99","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","5.36","161650197.84","n/a","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bkepp",
"BRQS","Borqs Technologies, Inc. ","3.9","122083065","n/a","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/brqs",
"BCLI","Brainstorm Cell Therapeutics Inc.","3.54","73303618.98","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/bcli",
"BRID","Bridgford Foods Corporation","28.15","255512820.8","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/brid",
"BCOV","Brightcove Inc.","7.61","277639549.15","n/a","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/bcov",
"CFFI","C&F Financial Corporation","50.5","176837920.5","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cffi",
"CDZI","Cadiz, Inc.","10.25","251299854.75","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/cdzi",
"CGO","Calamos Global Total Return Fund","11.34","98030535.12","n/a","2005","n/a","n/a","https://www.nasdaq.com/symbol/cgo",
"CALA","Calithera Biosciences, Inc.","4.21","160509264.36","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cala",
"CLMT","Calumet Specialty Products Partners, L.P.","3.17","244548410.53","n/a","2006","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/clmt",
"CRUSC","Calvert Management Series","100.02","100020000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/crusc",
"CAMT","Camtek Ltd.","7.1","258680370.5","n/a","2000","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/camt",
"CPHC","Canterbury Park Holding Corporation","15.35","69445349.45","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/cphc",
"CBNK","Capital Bancorp, Inc.","11.95","183655295.8","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/cbnk",
"CPLP","Capital Product Partners L.P.","2.2","279942722.4","n/a","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cplp",
"CPTA","Capitala Finance Corp.","8.09","129673703.92","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/cpta",
"CSTR","CapStar Financial Holdings, Inc.","15.54","275442164.34","n/a","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/cstr",
"CPST","Capstone Turbine Corporation","0.8999","61566968.9655","n/a","2000","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cpst",
"CART","Carolina Trust BancShares, Inc.","7.9792","57107030.6704","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cart",
"CASM","CAS Medical Systems, Inc.","1.8593","53655142.0623","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/casm",
"CBIO","Catalyst Biosciences, Inc. ","7.67","91600731.43","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cbio",
"CPRX","Catalyst Pharmaceuticals, Inc.","2.54","260957712.78","n/a","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cprx",
"CATS","Catasys, Inc.","11.1","179109111.6","n/a","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/cats",
"CBFV","CB Financial Services, Inc.","24.3","131567465.7","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbfv",
"CBMB","CBM Bancorp, Inc.","12.83","54296560","n/a","2018","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cbmb",
"CECE","CECO Environmental Corp.","6.84","239061166.92","n/a","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/cece",
"CELC","Celcuity Inc.","22.46","228171229.84","n/a","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/celc",
"CLDX","Celldex Therapeutics, Inc.","0.3469","59828305.1923","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/cldx",
"CELH","Celsius Holdings, Inc.","3.67","187646435.73","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/celh",
"CYAD","Celyad SA","22.4","20025398.4","893991","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cyad",
"CFBK","Central Federal Corporation","12.733","54784891.203","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cfbk",
"CVCY","Central Valley Community Bancorp","19.99","274961750.35","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cvcy",
"CTRC","Centric Brands Inc.","3.87","225758675.25","n/a","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/ctrc",
"CNTY","Century Casinos, Inc.","7.7","226681678.3","n/a","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/cnty",
"CERC","Cerecor Inc.","5.1","208101363.9","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cerc",
"CSBR","Champions Oncology, Inc.","9.9","112860000","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/csbr",
"CTAC","ChaSerg Technology Acquisition Corp.","9.66","271832400","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctac",
"CKPT","Checkpoint Therapeutics, Inc.","3.38","115077227.46","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ckpt",
"CEMI","Chembio Diagnostics, Inc.","6.84","117560338.56","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cemi",
"CHMG","Chemung Financial Corp","42.4","205852000","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chmg",
"CHMA","Chiasma, Inc.","3.72","90881991.96","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/chma",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","7.95","92344751.4","n/a","2017","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/csse",
"CMRX","Chimerix, Inc.","2.31","117172675.62","n/a","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmrx",
"CAAS","China Automotive Systems, Inc.","2.87","90818291.48","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CCRC","China Customer Relations Centers, Inc.","11.24","206024704","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"CJJD","China Jo-Jo Drugstores, Inc.","2.16","62503440.48","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cjjd",
"CXDC","China XD Plastics Company Limited","2.889","145746701.649","n/a","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",
"CDXC","ChromaDex Corporation","3.38","186246395.92","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cdxc",
"CHSCP","CHS Inc","28.85","208650643.3","n/a","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscp",
"CDTX","Cidara Therapeutics, Inc.","2.9","80479149.9","n/a","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cdtx",
"CTRN","Citi Trends, Inc.","21","256200000","n/a","2005","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/ctrn",
"CZWI","Citizens Community Bancorp, Inc.","11.385","124705734.12","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/czwi",
"CZFC","Citizens First Corporation","22","55827310","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/czfc",
"CIZN","Citizens Holding Company","21.306","104495916.18","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cizn",
"CIVB","Civista Bancshares, Inc. ","18.94","291704978.2","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/civb",
"CACG","ClearBridge All Cap Growth ETF","28.98","56508681.6","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cacg",
"CLFD","Clearfield, Inc.","12.15","165788499.6","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/clfd",
"CLPS","CLPS Incorporation","5.82","80396438.22","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/clps",
"CMFN","CM Finance Inc","7.34","100138519","n/a","2014","n/a","n/a","https://www.nasdaq.com/symbol/cmfn",
"CMSS","CM Seven Star Acquisition Corporation","10.23","269285231.16","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmss",
"CCB","Coastal Financial Corporation","15.01","178431420.03","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/ccb",
"COCP","Cocrystal Pharma, Inc.","3.01","90068458.76","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cocp",
"CODA","Coda Octopus Group, Inc.","5.877","61211399.832","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/coda",
"CVLY","Codorus Valley Bancorp, Inc","22.35","200181775.65","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cvly",
"CWBR","CohBar, Inc.","3.08","131074072.36","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cwbr",
"CLCT","Collectors Universe, Inc.","13.6","123221195.2","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/clct",
"CBAN","Colony Bankcorp, Inc.","15.75","133007301","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cban",
"CVGI","Commercial Vehicle Group, Inc.","7.13","220283959.58","n/a","2004","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/cvgi",
"ESXB","Community Bankers Trust Corporation.","7.39","163473170.18","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/esxb",
